word,reading,pos,english
ありがとう,ありがとう,N,Thank you
或,ある,N,"a certain..., some..."
あるいは,あるいは,N,"or, perhaps"
アルバム,アルバム,N,album
泡,あわ,N,"bubble, foam"
合わせる,あわせる,V,to combine
慌てる,あわてる,V,to become confused、to panic
哀れ,あわれ,N,"helpless, pity, pathetic"
案,あん,N,"plan, scheme, proposal"
案外,あんがい,N,unexpectedly
暗記,あんき,N,"memorization, learning by heart"
安定,あんてい,N,"stability, equilibrium"
あんなに,あんなに,V,"to that extent, to that degree"
あんまり,あんまり,N,"not very, not much"
胃,い,N,stomach
委員,いいん,N,committee member
意外,いがい,N,"unexpected, surprising"
行き,いき,N,going
息,いき,N,breath
勢い,いきおい,N,"force, vigor, momentum"
生き物,いきもの,N,"living thing, creature"
いけない,いけない,N,"must not do, bad, wrong"
医師,いし,N,"doctor, physician"
意思,いし,N,"intention, purpose"
意志,いし,N,"will, volition"
維持,いじ,N,"maintenance, preservation"
意識,いしき,N,"consciousness, senses"
異常,いじょう,N,"strangeness, abnormality, disorder"
意地悪,いじわる,N,"malicious, mean, unkind"
泉,いずみ,N,"spring, fountain"
いずれ,いずれ,N,"where, which, who"
以前,いぜん,N,in the past; before
板,いた,N,"board, plank"
偉大,いだい,N,greatness
抱く,いだく,V,"to hold (v.t.) (written expression), to embrace, to harbor"
いたずら,いたずら,N,"trick, practical joke"
いただきます,いただきます,N,expression of gratitude before meals
痛み,いたみ,N,"pain, ache, sore"
至る,いたる,V,"to come, to arrive"
位置,いち,N,"place, position"
一時,いちじ,N,"for a time, temporarily"
一度に,いちどに,N,all at once
市場,いちば,N,"market, bazaar"
いつか,いつか,N,"sometime, one day"
一家,いっか,N,"family, clan"
一種,いっしゅ,N,"a species, a kind, a variety"
一瞬,いっしゅん,N,"a moment, an instant"
一生,いっしょう,N,throughout (one's) life
一層,いっそう,N,"much more, still more"
一体,いったい,N,one object; body; what on earth?; generally
一致,いっち,N,agreement; conformity
いつでも,いつでも,N,"(at) any time, always"
いつのまにか,いつのまにか,N,before one knows
一般,いっぱん,N,"general, average"
一方,いっぽう,N,on the other hand; meanwhile
いつまでも,いつまでも,N,"forever, for good, eternally"
移動,いどう,N,"migration, movement"
従兄弟,いとこ,N,cousin (male)
従姉妹,いとこ,N,cousin (female)
稲,いね,N,rice-plant
居眠り,いねむり,N,"dozing, nodding off"
命,いのち,N,life
違反,いはん,N,"violation (of law), infringement"
衣服,いふく,N,clothes
居間,いま,N,living room
今に,いまに,N,"before long, soon"
今にも,いまにも,N,"at any time, soon"
イメージ,イメージ,N,one's image
否,いや,N,"no, the noes"
以来,いらい,N,"since, henceforth"
依頼,いらい,N,request; dependence
いらいら,いらいら,N,"getting nervous, irritation"
いらっしゃい,いらっしゃい,N,welcome
医療,いりょう,N,"medical care, medical treatment"
岩,いわ,N,rock
祝い,いわい,N,"celebration, festival"
祝う,いわう,V,"to congratulate, to celebrate"
言わば,いわば,N,so to speak
いわゆる,いわゆる,N,"the so-called, so-to-speak"
インク,インク,N,ink
印刷,いんさつ,N,printing
印象,いんしょう,N,impression
引退,いんたい,N,retirement
インタビュー,インタビュー,N,interview
引用,いんよう,N,"quotation, citation"
ウイスキー,ウイスキー,N,whiskey
うがい,うがい,N,gargling
受け取る,うけとる,V,"to receive, to get, to accept"
動かす,うごかす,V,"to move, to shift"
兎,うさぎ,N,"rabbit, hare"
牛,うし,N,"cattle, cow"
失う,うしなう,V,"to lose, to part with"
疑う,うたがう,V,"to doubt, to distrust"
宇宙,うちゅう,N,"universe, cosmos, space"
討つ,うつ,V,"to attack, to avenge"
撃つ,うつ,V,"to attack, to shoot"
うっかり,うっかり,N,carelessly; inadvertently
映す,うつす,V,"to project, to reflect, to cast (shadow)"
訴える,うったえる,V,"to complain, to appeal, to sue (a person)"
写る,うつる,V,"to be photographed, to be projected"
映る,うつる,V,"to be reflected, to come out (photo)"
うなる,うなる,V,"to groan, to moan"
奪う,うばう,V,"to rob, to deprive"
馬,うま,N,horse; promoted bishop (in Japanese chess known as shogi)
生まれ,うまれ,N,"birth, birth-place"
有無,うむ,N,"yes or no, presence or absence"
梅,うめ,N,"plum, lowest (of a three-tier ranking system)"
埋める,うめる,V,"to bury, to fill up, to fill (a seat, a vacant position)"
裏切る,うらぎる,V,"to betray, to turn traitor"
羨ましい,うらやましい,N,"envious, enviable"
売れる,うれる,V,to be sold
噂,うわさ,N,"rumor, gossip"
運,うん,N,"fortune, luck"
柄,え,N,"handle (of a sword, dagger, etc.), grip"
永遠,えいえん,N,"eternity, perpetuity, immortality"
永久,えいきゅう,N,"eternity, perpetuity, immortality"
影響,えいきょう,N,"influence, effect"
営業,えいぎょう,N,"business, trade, management"
衛星,えいせい,N,satellite
栄養,えいよう,N,"nutrition, nourishment"
笑顔,えがお,N,smile (on one's face)
描く,えがく,V,"to draw, to depict, to describe"
餌,えさ,N,"feed, bait"
エネルギー,エネルギー,N,energy (GER: energie)
得る,える,V,"to get, to gain, to win, to learn"
円,えん,N,"circle, yen"
延期,えんき,N,"postponement, adjournment"
演技,えんぎ,N,"acting, performance"
援助,えんじょ,N,"assistance, aid, support"
エンジン,エンジン,N,engine
演説,えんぜつ,N,"speech, address"
演奏,えんそう,N,musical performance
老い,おい,N,"old age, the aged"
追い付く,おいつく,V,"to overtake, to catch up (with)"
王,おう,N,king
追う,おう,V,"to chase, to run after"
応援,おうえん,N,"aid, assistance, help"
王様,おうさま,N,king
王子,おうじ,N,prince
応じる,おうじる,V,"to adapt, to respond, to comply with"
横断,おうだん,N,crossing
終える,おえる,V,to finish
大いに,おおいに,N,"much, considerably (same as 大変 (たいへん)), greatly"
覆う,おおう,V,"to cover, to hide, to conceal"
大家,おおや,N,landlord
丘,おか,N,"hill, height"
沖,おき,N,open sea
奥,おく,N,"interior, inner part"
贈る,おくる,V,"to present, to give to, to award to"
起こる,おこる,V,"to occur, to happen"
押える,おさえる,V,"to stop, to restrain, to press down"
幼い,おさない,N,"very young, childish"
収める,おさめる,V,"to store to pay, to supply"
納める,おさめる,V,"to store to pay, to supply"
治める,おさめる,V,"to govern, to manage; to subdue"
お辞儀,おじぎ,N,bow
お洒落,おしゃれ,N,"smartly dressed, fashion-conscious"
お喋り,おしゃべり,N,"chattering, talk"
汚染,おせん,N,"pollution, contamination"
恐らく,おそらく,N,perhaps
恐れる,おそれる,V,"to fear, to be afraid of"
恐ろしい,おそろしい,N,"terrible, dreadful"
教わる,おそわる,V,to be taught
お互い,おたがい,N,"mutual, reciprocal, each other"
穏やか,おだやか,N,"calm, gentle, quiet"
男の人,おとこのひと,N,man
大人しい,おとなしい,N,"obedient, docile, quiet"
劣る,おとる,V,"to fall behind, to be inferior to"
鬼,おに,N,"ogre, demon, 'it' (e.g.,in a game of tag)"
帯,おび,N,"band, sash"
お昼,おひる,N,"lunch, noon"
オフィス,オフィス,N,office
溺れる,おぼれる,V,"to be drowned, to indulge in"
お前,おまえ,N,"you (sing), presence (of a high personage)"
おめでとう,おめでとう,N,"Congratulations!, an auspicious occasion!"
お目に掛かる,おめにかかる,N,"meet ~, see ~"
思い付く,おもいつく,V,"to think of, to hit upon"
思い出,おもいで,N,"memories, recollections, reminiscence"
主に,おもに,N,"mainly, primarily"
思わず,おもわず,N,"unintentional, spontaneous"
泳ぎ,およぎ,N,swimming
およそ,およそ,N,"about, roughly, approximately"
及ぼす,およぼす,V,"to exert, to cause, to exercise"
下す,おろす,V,"to lower, to let go down"
降ろす,おろす,V,"to take down, to launch, to drop"
卸す,おろす,V,"to sell wholesale, grated (vegetables)"
恩,おん,N,"favor, obligation, debt of gratitude"
温暖,おんだん,N,warmth
温度,おんど,N,temperature
可,か,N,passable
蚊,か,N,mosquito
課,か,N,"department, division"
カー,カー,N,car
カード,カード,N,"card, curd"
貝,かい,N,"shell, shellfish"
害,がい,N,"harm, damage"
会員,かいいん,N,"member, the membership"
絵画,かいが,N,"picture, painting"
海外,かいがい,N,"foreign, abroad, overseas"
会計,かいけい,N,"account, finance"
解決,かいけつ,N,"settlement, solution, resolution"
会合,かいごう,N,"meeting, assembly"
外交,がいこう,N,diplomacy
開始,かいし,N,"start, commencement, beginning"
解釈,かいしゃく,N,"explanation, interpretation"
外出,がいしゅつ,N,"outing, going out"
改善,かいぜん,N,"betterment, improvement"
快適,かいてき,N,"pleasant, agreeable"
回復,かいふく,N,"recovery (from illness), rehabilitation, restoration"
飼う,かう,V,to keep; to own (a pet); to raise; to feed
帰す,かえす,V,to send back
代える,かえる,V,"to exchange, to interchange, to substitute"
替える,かえる,V,"to exchange, to interchange, to substitute"
換える,かえる,V,"to exchange, to interchange, to substitute"
反る,かえる,V,"to warp, to be warped, to curve"
香り,かおり,N,"aroma, fragrance"
画家,がか,N,painter
抱える,かかえる,V,to hold or carry under or in the arms
価格,かかく,N,"price, value"
化学,かがく,N,chemistry
