character,writing_level,traditional,examples
裸,,裸,裸 裸露
迈,,邁,迈 迈进 年迈
脉,,脈,动脉 来龙去脉 脉搏 脉络 血脉
蛮,,蠻,蛮 野蛮
瞒,,瞞,瞒 隐瞒
蔓,,蔓,蔓延
芒,,芒,光芒
氓,,氓,流氓
茫,,茫,茫然
莽,,莽,鲁莽
茅,,茅,茅台 茅台酒
髦,,髦,时髦
茂,,茂,茂密 茂盛
玫,,玫,玫瑰
枚,,枚,枚
眉,,眉,愁眉苦脸 眉开眼笑 眉毛
霉,,霉,倒霉
昧,,昧,冒昧
媚,,媚,明媚
魅,,魅,魅力
闷,,悶,沉闷 烦闷 闷 纳闷儿
萌,,萌,萌发 萌芽
朦,,朦,朦胧
孟,,,
弥,,彌,弥补 弥漫
谜,,謎,猜谜 谜 谜底 谜团 谜语
觅,,覓,寻觅
泌,,泌,分泌
蜜,,蜜,蜂蜜 蜜 蜜蜂 蜜月 甜蜜
绵,,綿,海绵 连绵
勉,,勉,勉强
缅,,緬,缅怀
苗,,苗,禾苗 苗 苗条 苗头 疫苗
瞄,,瞄,瞄准
渺,,渺,渺小
庙,,廟,庙 庙会 寺庙
蔑,,蔑,轻蔑
鸣,,鳴,共鸣
铭,,銘,铭记 座右铭
谬,,謬,荒谬
蘑,,蘑,蘑菇
魔,,魔,魔鬼 魔术
抹,,抹,抹
沫,,沫,泡沫
陌,,陌,陌生
莫,,莫,变幻莫测 莫非 莫过于 莫名其妙 一筹莫展
寞,,寞,寂寞
牡,,牡,牡丹
亩,,畝,亩
姆,,姆,保姆
沐,,沐,沐浴露
牧,,牧,牧场 牧民
募,,募,募捐 招募
睦,,睦,和睦
慕,,慕,羡慕
暮,,暮,朝三暮四
穆,,穆,穆斯林
呐,,吶,呐喊
乃,,乃,乃 乃至
囊,,囊,胶囊
挠,,撓,挠 阻挠
恼,,惱,烦恼 苦恼 恼羞成怒
馁,,餒,气馁
嫩,,嫩,嫩
尼,,尼,尼龙
拟,,擬,模拟 拟 拟定 虚拟
逆,,逆,逆 叛逆
匿,,匿,藏匿 匿名
腻,,膩,细腻
黏,,黏,黏
酿,,釀,酿造 酝酿
尿,,尿,尿 糖尿病
捏,,捏,捏
拧,,擰,拧
凝,,凝,混凝土 凝固 凝聚
纽,,紐,纽带 纽扣 枢纽
奴,,奴,奴隶
虐,,虐,虐待
挪,,挪,挪
哦,,哦,哦
欧,,,
殴,,毆,殴打
呕,,嘔,呕吐
趴,,趴,趴
帕,,帕,手帕
徘,,徘,徘徊
潘,,,
攀,,攀,攀 攀升
叛,,叛,背叛 叛逆
畔,,畔,河畔
乓,,乓,乒乓球
庞,,龐,庞大
膀,,膀,翅膀 肩膀
抛,,拋,抛 抛开 抛弃
刨,,刨,刨
袍,,袍,旗袍
胚,,胚,胚胎
沛,,沛,充沛
佩,,佩,敬佩 佩服 钦佩
抨,,抨,抨击
烹,,烹,烹调
棚,,棚,大棚
蓬,,蓬,蓬勃 朝气蓬勃
鹏,,鵬,鹏程万里
篷,,篷,帐篷
膨,,膨,膨胀
捧,,捧,吹捧 捧 捧场
劈,,劈,劈
疲,,疲,精疲力竭 疲惫 疲惫不堪 疲倦 疲劳
辟,,闢,开辟 开天辟地
媲,,媲,媲美
僻,,僻,僻静 偏僻
譬,,譬,譬如 譬如说
飘,,飄,飘
撇,,撇,撇
乒,,乒,乒乓球
坪,,坪,草坪
萍,,萍,萍水相逢
颇,,頗,颇
魄,,魄,惊心动魄 魄力 气魄
剖,,剖,解剖
仆,,僕,公仆
菩,,菩,菩萨
朴,,樸,纯朴 古朴 朴实 朴素 质朴
浦,,,
谱,,譜,离谱儿 谱
瀑,,瀑,瀑布
沏,,沏,沏
栖,,棲,两栖
凄,,淒,凄凉
戚,,戚,亲戚
漆,,漆,漆
歧,,歧,分歧 歧视
祈,,祈,祈祷
棋,,棋,棋 棋子 下棋
乞,,乞,乞丐 乞求 乞讨
岂,,豈,岂有此理
迄,,迄,迄今 迄今为止
泣,,泣,可歌可泣 哭泣
契,,契,默契 契机 契约
砌,,砌,堆砌
掐,,掐,掐
洽,,洽,洽谈 融洽
虔,,虔,虔诚
钳,,鉗,钳子
遣,,遣,派遣 消遣
谴,,譴,谴责
嵌,,嵌,镶嵌
呛,,嗆,够呛 呛
腔,,腔,口腔 腔
乔,,喬,乔装
侨,,僑,华侨
俏,,俏,俊俏
窍,,竅,诀窍 窍门
翘,,翹,翘
撬,,撬,撬
怯,,怯,胆怯
窃,,竊,盗窃 窃取
钦,,欽,钦佩
秦,,,
禽,,禽,家禽
寝,,寢,废寝忘食 寝室
擎,,擎,引擎
顷,,頃,公顷
丘,,丘,丘陵
囚,,囚,囚犯
驱,,驅,驱动 驱逐
屈,,屈,屈服 委屈
躯,,軀,身躯
娶,,娶,娶
拳,,拳,拳 拳头 太极拳
犬,,犬,猎犬
雀,,雀,鸦雀无声
壤,,壤,土壤
攘,,攘,熙熙攘攘
嚷,,嚷,嚷
饶,,饒,饶 饶恕
惹,,惹,惹
仁,,仁,见仁见智 仁慈
韧,,韌,坚韧 韧性
溶,,溶,溶解
冗,,冗,冗长
柔,,柔,柔和 柔软 温柔
揉,,揉,揉
儒,,儒,儒家 儒学
辱,,辱,耻辱 侮辱
锐,,銳,尖锐 敏锐
瑞,,瑞,瑞雪
撒,,撒,撒 撒谎
萨,,薩,菩萨
桑,,桑,沧桑 桑拿
嗓,,嗓,嗓子
骚,,騷,骚乱 骚扰
嫂,,嫂,嫂子
臊,,臊,害臊
僧,,僧,僧人
纱,,紗,婚纱 纱
砂,,砂,砂糖
鲨,,鯊,鲨鱼
厦,,廈,大厦
筛,,篩,筛 筛选
删,,刪,删 删除
煽,,煽,煽动
擅,,擅,擅长 擅自
膳,,膳,膳食
赡,,贍,赡养
捎,,捎,捎
梢,,梢,树梢
哨,,哨,口哨
奢,,奢,奢侈 奢望
慑,,懾,威慑
绅,,紳,绅士
肾,,腎,肾
渗,,滲,渗 渗透
慎,,慎,不慎 谨慎 慎重
绳,,繩,绳子
尸,,屍,尸体
狮,,獅,狮子
蚀,,蝕,腐蚀
矢,,矢,有的放矢
氏,,氏,摄氏度 姓氏
侍,,侍,侍候
逝,,逝,逝世
嗜,,嗜,嗜好
誓,,誓,发誓 宣誓
匙,,匙,钥匙
兽,,獸,野兽
抒,,抒,抒情
枢,,樞,枢纽
梳,,梳,梳 梳理 梳子
疏,,疏,疏导 疏忽 疏散 疏通
赎,,贖,赎
署,,署,部署 签署
蜀,,,
曙,,曙,曙光
竖,,豎,横七竖八 竖
恕,,恕,宽恕 饶恕
墅,,墅,别墅
耍,,耍,耍 耍赖 玩耍
衰,,衰,衰减 衰竭 衰老 衰弱 衰退
甩,,甩,甩
拴,,拴,拴
栓,,栓,血栓
涮,,涮,涮
霜,,霜,霜 雪上加霜
瞬,,瞬,瞬间 一瞬间
烁,,爍,闪烁
丝,,絲,粉丝 螺丝 丝 丝绸 丝毫
斯,,斯,穆斯林 伊斯兰教
撕,,撕,撕
伺,,伺,伺候 伺机
祀,,祀,祭祀
饲,,飼,饲料 饲养
肆,,肆,大肆 放肆
耸,,聳,耸立
讼,,訟,诉讼
宋,,,
诵,,誦,背诵 朗诵
颂,,頌,歌颂
艘,,艘,艘
嗽,,嗽,咳嗽
酥,,酥,酥
溯,,溯,追溯
蒜,,蒜,蒜
髓,,髓,精髓
遂,,遂,遂心
隧,,隧,隧道
嗦,,嗦,哆嗦
塌,,塌,倒塌 死心塌地 塌 一塌糊涂
胎,,胎,轮胎 胚胎 双胞胎 胎 胎儿
汰,,汰,淘汰
泰,,泰,泰斗
贪,,貪,贪 贪婪 贪玩儿 贪污
摊,,攤,摊
滩,,灘,海滩 沙滩
瘫,,癱,瘫 瘫痪
坛,,壇,论坛 坛
痰,,痰,痰
潭,,潭,泥潭
毯,,毯,地毯 毯子
炭,,炭,煤炭 炭
碳,,碳,低碳 二氧化碳 碳
唐,,,
塘,,塘,池塘
膛,,膛,胸膛
倘,,倘,倘若
淌,,淌,流淌 淌
烫,,燙,烫
涛,,濤,波涛
滔,,滔,滔滔不绝
陶,,陶,陶瓷 陶冶 陶醉 熏陶
淘,,淘,淘 淘气 淘汰
腾,,騰,沸腾 热腾腾 腾 折腾
藤,,藤,藤椅
剔,,剔,剔除 挑剔
屉,,屜,抽屉
剃,,剃,剃
涕,,涕,鼻涕
惕,,惕,警惕
舔,,舔,舔
帖,,帖,请帖 帖子
廷,,廷,宫廷
亭,,亭,报亭
艇,,艇,潜艇
捅,,捅,捅
桶,,桶,马桶 桶
筒,,筒,话筒 筒
凸,,凸,凸 凸显
秃,,禿,秃
涂,,塗,糊涂 涂 一塌糊涂
屠,,屠,屠杀
颓,,頹,颓废
屯,,屯,屯
驮,,馱,驮
妥,,妥,妥 妥当 妥善 妥协 稳妥
拓,,拓,开拓 拓宽 拓展
唾,,唾,唾液
蛙,,蛙,青蛙
瓦,,瓦,瓦
歪,,歪,歪 歪曲
丸,,丸,定心丸 丸
挽,,挽,挽 挽回 挽救
惋,,惋,惋惜
婉,,婉,委婉
腕,,腕,大腕儿 手腕
汪,,汪,汪洋
枉,,枉,冤枉
妄,,妄,妄想
伪,,偽,伪造 伪装 虚伪
纬,,緯,纬度
萎,,萎,萎缩
畏,,畏,畏惧 畏缩
魏,,,
瘟,,瘟,瘟疫
纹,,紋,花纹
蚊,,蚊,蚊帐 蚊子
吻,,吻,吻 吻合
紊,,紊,紊乱
翁,,翁,富翁
涡,,渦,旋涡
窝,,窩,窝
沃,,沃,肥沃
巫,,巫,巫婆
呜,,嗚,呜咽
吴,,,
侮,,侮,侮辱
捂,,捂,捂
勿,,勿,勿
晤,,晤,会晤
雾,,霧,雾
昔,,昔,昔日
晰,,晰,清晰
稀,,稀,稀 稀罕 稀奇 稀少
锡,,錫,锡
溪,,溪,小溪
熙,,熙,熙熙攘攘
熄,,熄,熄火
膝,,膝,膝盖
嬉,,嬉,嬉笑
袭,,襲,抄袭 世袭 袭击
媳,,媳,媳妇
隙,,隙,间隙 空隙
虾,,蝦,虾
瞎,,瞎,瞎
侠,,俠,侠义
峡,,峽,海峡 峡谷
狭,,狹,狭隘 狭小 狭窄
辖,,轄,管辖
霞,,霞,彩霞
仙,,仙,神仙 仙鹤 仙女
纤,,纖,化纤 纤维
掀,,掀,掀 掀起
贤,,賢,圣贤
弦,,弦,扣人心弦 弦
衔,,銜,头衔 衔接
宪,,憲,宪法
馅,,餡,馅儿
羡,,羨,羡慕
腺,,腺,腺
厢,,廂,车厢
镶,,鑲,镶 镶嵌
翔,,翔,飞翔
巷,,巷,大街小巷
橡,,橡,橡胶 橡皮
肖,,肖,肖像
削,,削,剥削 削 削弱
宵,,宵,通宵 元宵节
萧,,蕭,萧条
潇,,瀟,潇洒
淆,,淆,混淆
孝,,孝,孝敬 孝顺
啸,,嘯,海啸
邪,,邪,改邪归正 邪 邪恶
挟,,挾,挟持
携,,攜,携带 携手
泄,,洩/泄,发泄 泄 泄漏 泄露 泄密
泻,,瀉,腹泻 泻
卸,,卸,推卸 卸
屑,,屑,不屑
懈,,懈,不懈 坚持不懈
芯,,芯,芯片
馨,,馨,温馨
衅,,釁,挑衅
猩,,猩,猩猩
腥,,腥,腥
刑,,刑,刑法
汹,,洶,汹涌
羞,,羞,害羞 恼羞成怒 羞愧
朽,,朽,腐朽
绣,,繡,刺绣 绣
锈,,鏽,锈
嗅,,嗅,嗅觉
墟,,墟,废墟
徐,,徐,徐徐
旭,,旭,旭日
叙,,敘,叙述
恤,,卹,抚恤
